name,mfr,type,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,shelf,weight,cups,rating
100% Bran,N,C,70,4,1,130,10.0,5.0,6.0,280.0,FDA_25,3,1.0,0.33,68.402973
100% Natural Bran,Q,C,120,3,5,15,2.0,8.0,8.0,135.0,FDA_0,3,1.0,1.0,33.983678999999995
All-Bran,K,C,70,4,1,260,9.0,7.0,5.0,320.0,FDA_25,3,1.0,0.33,59.425505
All-Bran with Extra Fiber,K,C,50,4,0,140,14.0,8.0,0.0,330.0,FDA_25,3,1.0,0.5,93.704912
Almond Delight,R,C,110,2,2,200,1.0,14.0,8.0,,FDA_25,3,1.0,0.75,34.384843
Apple Cinnamon Cheerios,G,C,110,2,2,180,1.5,10.5,10.0,70.0,FDA_25,1,1.0,0.75,29.509541
Apple Jacks,K,C,110,2,0,125,1.0,11.0,14.0,30.0,FDA_25,2,1.0,1.0,33.174094000000004
Basic 4,G,C,130,3,2,210,2.0,18.0,8.0,100.0,FDA_25,3,1.33,0.75,37.038562
Bran Chex,R,C,90,2,1,200,4.0,15.0,6.0,125.0,FDA_25,1,1.0,0.67,49.120253000000005
Bran Flakes,P,C,90,3,0,210,5.0,13.0,5.0,190.0,FDA_25,3,1.0,0.67,53.313813
Cap'n'Crunch,Q,C,120,1,2,220,0.0,12.0,12.0,35.0,FDA_25,2,1.0,0.75,18.042851000000002
Cheerios,G,C,110,6,2,290,2.0,17.0,1.0,105.0,FDA_25,1,1.0,1.25,50.764998999999996
Cinnamon Toast Crunch,G,C,120,1,3,210,0.0,13.0,9.0,45.0,FDA_25,2,1.0,0.75,19.823573
Clusters,G,C,110,3,2,140,2.0,13.0,7.0,105.0,FDA_25,3,1.0,0.5,40.400208
Cocoa Puffs,G,C,110,1,1,180,0.0,12.0,13.0,55.0,FDA_25,2,1.0,1.0,22.736446
Corn Chex,R,C,110,2,0,280,0.0,22.0,3.0,25.0,FDA_25,1,1.0,1.0,41.445019
Corn Flakes,K,C,100,2,0,290,1.0,21.0,2.0,35.0,FDA_25,1,1.0,1.0,45.863324
Corn Pops,K,C,110,1,0,90,1.0,13.0,12.0,20.0,FDA_25,2,1.0,1.0,35.782790999999996
Count Chocula,G,C,110,1,1,180,0.0,12.0,13.0,65.0,FDA_25,2,1.0,1.0,22.396513
Cracklin' Oat Bran,K,C,110,3,3,140,4.0,10.0,7.0,160.0,FDA_25,3,1.0,0.5,40.448772
Cream of Wheat (Quick),N,H,100,3,0,80,1.0,21.0,0.0,,FDA_0,2,1.0,1.0,64.533816
Crispix,K,C,110,2,0,220,1.0,21.0,3.0,30.0,FDA_25,3,1.0,1.0,46.895644
Crispy Wheat & Raisins,G,C,100,2,1,140,2.0,11.0,10.0,120.0,FDA_25,3,1.0,0.75,36.176196000000004
Double Chex,R,C,100,2,0,190,1.0,18.0,5.0,80.0,FDA_25,3,1.0,0.75,44.330856
Froot Loops,K,C,110,2,1,125,1.0,11.0,13.0,30.0,FDA_25,2,1.0,1.0,32.207582
Frosted Flakes,K,C,110,1,0,200,1.0,14.0,11.0,25.0,FDA_25,1,1.0,0.75,31.435972999999997
Frosted Mini-Wheats,K,C,100,3,0,0,3.0,14.0,7.0,100.0,FDA_25,2,1.0,0.8,58.345141000000005
Fruit & Fibre Dates; Walnuts; and Oats,P,C,120,3,2,160,5.0,12.0,10.0,200.0,FDA_25,3,1.25,0.67,40.917047
Fruitful Bran,K,C,120,3,0,240,5.0,14.0,12.0,190.0,FDA_25,3,1.33,0.67,41.015492
